id,full_name,year,manufacturer,model,country,class,pi,speed,handling,acceleration,launch,braking,offroad,power_hp,torque_lb_ft,weight_lb,engine,layout,price_cr,division,unlock,image_local_path,wiki_page
2017-aston-martin-db11,2017 AM DB11,2017,AM,DB11,United Kingdom,A,679,7.3,5.8,5.7,6.1,6.1,5.3,608,516,4134,V12,"Front-Engined, Rear-Wheel Drive",175000,sgt,auto,images/2017-aston-martin-db11.png,https://forza.fandom.com/wiki/Aston_Martin_DB11
1968-abarth-595-esseesse,1968 Abarth 595 esseesse,1968,Abarth,595 esseesse,Italy,,100,2.6,3.7,1.7,2.6,2.0,5.2,28,34,1257,I2,"Rear-Engined, Rear-Wheel Drive",25000,Classic Customs,auto,images/1968-abarth-595-esseesse.png,https://forza.fandom.com/wiki/Abarth_595_esseesse
2016-abarth-695-biposto,2016 Abarth 695 Biposto,2016,Abarth,695 Biposto,Italy,B,540,4.9,5.3,4.7,3.9,4.8,5.1,186,183,2198,I4,"Front-Engined, Front-Wheel Drive",250000,Hot Hatch,Hard-to-Find,images/2016-abarth-695-biposto.png,https://forza.fandom.com/wiki/Abarth_695_Biposto
1980-abarth-fiat-131,1980 Abarthf Fiat 131,1980,Abarthf,Fiat 131,Italy,D,399,4.3,4.1,4.1,3.9,3.2,5.9,140,130,2161,I4,"Front-Engined, Rear-Wheel Drive",125000,crl,auto,images/1980-abarth-fiat-131.png,https://forza.fandom.com/wiki/Abarth_Fiat_131
2001-acura-integra-type-r,2001 Acura Integra Type R,2001,Acura,Integra Type R,United States,C,471,5.6,4.6,3.9,3.1,3.4,5.4,195,130,2639,I4,"Front-Engined, Front-Wheel Drive",65000,rhh,auto,images/2001-acura-integra-type-r.png,https://forza.fandom.com/wiki/Acura_Integra_Type_R
2022-acura-nsx-type-s,2022 Acura NSX Type S,2022,Acura,NSX Type S,United States,S1,734,7.3,6.2,8.7,7.7,6.9,5.4,600,492,3903,V6,"Mid-Engined, All-Wheel Drive",193000,msu,,images/2022-acura-nsx-type-s.png,https://forza.fandom.com/wiki/Acura_NSX_Type_S
1965-alfa-romeo-giulia-sprint-gta-stradale,1965 Alfa Giulia Sprint GTA Stradale,1965,Alfa,Giulia Sprint GTA Stradale,Italy,D,379,4.0,3.7,3.7,3.2,2.8,5.3,115,105,1676,I4,"Front-Engined, Rear-Wheel Drive",343000,rc,auto,images/1965-alfa-romeo-giulia-sprint-gta-stradale.png,https://forza.fandom.com/wiki/Alfa_Romeo_Giulia_Sprint_GTA_Stradale
1965-alfa-romeo-giulia-tz2,1965 Alfa Giulia TZ2,1965,Alfa,Giulia TZ2,Italy,B,532,5.5,3.8,4.3,4.4,3.4,5.1,168,162,1367,I4,"Front-Engined, Rear-Wheel Drive",1200000,crc,collection,images/1965-alfa-romeo-giulia-tz2.png,https://forza.fandom.com/wiki/Alfa_Romeo_Giulia_TZ2
1968-alfa-romeo-33-stradale,1968 Alfa 33 Stradale,1968,Alfa,33 Stradale,Italy,B,593,6.2,4.4,5.7,4.4,3.6,5.0,245,148,1543,V8,"Mid-Engined, Rear-Wheel Drive",3500000,crc,auto,images/1968-alfa-romeo-33-stradale.png,https://forza.fandom.com/wiki/Alfa_Romeo_33_Stradale
1992-alfa-romeo-155-q4,1992 Alfa 155 Q4,1992,Alfa,155 Q4,Italy,C,439,4.8,4.6,3.9,4.2,3.3,5.7,187,219,3186,I4,"Front-Engined, All-Wheel Drive",30000,rss,auto,images/1992-alfa-romeo-155-q4.png,https://forza.fandom.com/wiki/Alfa_Romeo_155_Q4
2014-alfa-romeo-4c,2014 Alfa 4C,2014,Alfa,4C,Italy,A,644,5.9,5.7,4.8,7.0,5.2,5.0,240,238,2072,I4,"Mid-Engined, Rear-Wheel Drive",73000,msp,auto,images/2014-alfa-romeo-4c.png,https://forza.fandom.com/wiki/Alfa_Romeo_4C
2017-alfa-romeo-giulia-quadrifoglio,2017 Alfa Giulia Quadrifoglio,2017,Alfa,Giulia Quadrifoglio,ita,A,667,7.3,6.4,5.9,4.9,6.7,5.0,506,442,3749,V6,"Front-Engined, Rear-Wheel Drive",45000,mss,auto,images/2017-alfa-romeo-giulia-quadrifoglio.png,https://forza.fandom.com/wiki/Alfa_Romeo_Giulia_Quadrifoglio
2019-apollo-intensa-emozione,2019 Apollo Intensa Emozione,2019,Apollo,Intensa Emozione,ger,X,916,7.4,9.1,7.7,8.4,10.0,4.4,780,560,2756,V12,"Mid-Engined, Rear-Wheel Drive",3200000,ett,wheel,images/2019-apollo-intensa-emozione.png,https://forza.fandom.com/wiki/Apollo_Intensa_Emozione
2013-ariel-atom-500-v8,2013 Ariel Atom 500 V8,2013,Ariel,Atom 500 V8,United Kingdom,S2,825,6.3,7.7,7.8,8.5,6.9,4.5,475,268,1433,V8,"Mid-Engined, Rear-Wheel Drive",190000,ett,auto,images/2013-ariel-atom-500-v8.png,https://forza.fandom.com/wiki/Ariel_Atom_500_V8
2016-ariel-nomad,2016 Ariel Nomad,2016,Ariel,Nomad,United Kingdom,A,601,5.1,4.5,6.5,7.2,4.2,8.3,235,221,1477,I4,"Rear-Engined, Rear-Wheel Drive",54000,ub,auto,images/2016-ariel-nomad.png,https://forza.fandom.com/wiki/Ariel_Nomad
1964-aston-martin-db5,1964 Aston DB5,1964,Aston,DB5,United Kingdom,C,417,5.1,3.8,4.0,2.9,2.7,5.7,282,282,3230,I6,"Front-Engined, Rear-Wheel Drive",500000,rc,auto,images/1964-aston-martin-db5.png,https://forza.fandom.com/wiki/Aston_Martin_DB5
2016-aston-martin-vulcan,2016 Aston Vulcan,2016,Aston,Vulcan,United Kingdom,S2,884,8.2,8.9,6.6,7.0,10.0,4.2,820,590,2998,V12,"Front-Engined, Rear-Wheel Drive",2300000,ett,auto,images/2016-aston-martin-vulcan.png,https://forza.fandom.com/wiki/Aston_Martin_Vulcan
2019-aston-martin-vantage,2019 Aston Martin Vantage,2019,Aston Martin,Vantage,United Kingdom,A,696,7.0,6.1,6.0,6.4,6.1,5.0,503,505,3497,V8,"Front-Engined, Rear-Wheel Drive",250000,gtc,auto,images/2019-aston-martin-vantage.png,https://forza.fandom.com/wiki/Aston_Martin_Vantage
2021-aston-martin-dbx,2021 Aston Martin DBX,2021,Aston Martin,DBX,United Kingdom,A,618,6.5,4.8,5.9,6.1,5.2,6.8,543,516,4949,V8,"Front-Engined, All-Wheel Drive",250000,suh,Hard-to-Find,images/2021-aston-martin-dbx.png,https://forza.fandom.com/wiki/Aston_Martin_DBX
1983-audi-sport-quattro,1983 Audi Sport quattro,1983,Audi,Sport quattro,ger,B,526,5.7,4.7,5.5,2.9,4.0,6.0,306,258,2807,I5,"Front-Engined, All-Wheel Drive",650000,rra,wheel,images/1983-audi-sport-quattro.png,https://forza.fandom.com/wiki/Audi_Sport_quattro
1986-audi-2-audi-sport-quattro-s1,1986 Audi #2 Audi Sport quattro S1,1986,Audi,#2 Audi Sport quattro S1,ger,S1,726,6.3,5.9,8.9,2.4,5.4,8.1,469,354,2403,I5,"Front-Engined, All-Wheel Drive",3000000,ram,auto,images/1986-audi-2-audi-sport-quattro-s1.png,https://forza.fandom.com/wiki/Audi_2_Audi_Sport_quattro_S1
2009-audi-r8-lms,2009 Audi R8 LMS,2009,Audi,R8 LMS,Germany,S2,810,7.2,8.1,7.7,7.7,9.5,4.4,643,375,3064,V10,"Mid-Engined, Rear-Wheel Drive",900000,ett,auto,images/2009-audi-r8-lms.png,https://forza.fandom.com/wiki/Audi_R8_LMS
2013-audi-rs-4-avant-2013,2013 Audi RS 4 Avant,2013,Audi,RS 4 Avant,ger,A,607,7.0,5.7,5.5,5.2,5.2,5.7,444,317,3957,V8,"Front-Engined, All-Wheel Drive",30000,mss,auto,images/2013-audi-rs-4-avant-2013.png,https://forza.fandom.com/wiki/Audi_RS_4_Avant_%282013%29
2018-audi-rs-4-avant-2018,2018 Audi RS 4 Avant,2018,Audi,RS 4 Avant,ger,A,637,7.2,5.6,7.1,9.4,4.9,5.6,444,442,3946,V6,"Front-Engined, All-Wheel Drive",50000,mss,auto,images/2018-audi-rs-4-avant-2018.png,https://forza.fandom.com/wiki/Audi_RS_4_Avant_%282018%29
2020-audi-rs-3-sedan,2020 Audi RS 3 Sedan,2020,Audi,RS 3 Sedan,ger,A,617,6.7,5.7,6.4,7.9,4.6,5.9,394,354,3593,I5,"Front-Engined, All-Wheel Drive",52000,mss,auto,images/2020-audi-rs-3-sedan.png,https://forza.fandom.com/wiki/Audi_RS_3_Sedan
1957-bmw-isetta-300-export,1957 BMW Isetta 300 Export,1957,BMW,Isetta 300 Export,ger,,100,1.9,3.0,1.2,2.7,2.4,5.1,13,14,920,I1,"Mid-Engined, Rear-Wheel Drive",84000,Classic Customs,auto,images/1957-bmw-isetta-300-export.png,https://forza.fandom.com/wiki/BMW_Isetta_300_Export
1973-bmw-2002-turbo,1973 BMW 2002 Turbo,1973,BMW,2002 Turbo,Germany,C,425,4.9,4.1,3.8,1.5,2.8,5.8,168,181,2381,I4,"Front-Engined, Rear-Wheel Drive",127000,csc,auto,images/1973-bmw-2002-turbo.png,https://forza.fandom.com/wiki/BMW_2002_Turbo
1997-bmw-m3-1997,1997 BMW M3,1997,BMW,M3,ger,B,549,6.5,4.5,4.9,5.2,3.6,5.6,321,258,3219,I6,"Front-Engined, Rear-Wheel Drive",30000,rss,auto,images/1997-bmw-m3-1997.png,https://forza.fandom.com/wiki/BMW_M3_%281997%29
2008-bmw-m3-2008,2008 BMW M3,2008,BMW,M3,ger,A,608,6.8,5.3,5.0,5.3,4.5,5.0,414,295,3649,V8,"Front-Engined, Rear-Wheel Drive",43000,mss,auto,images/2008-bmw-m3-2008.png,https://forza.fandom.com/wiki/BMW_M3_%282008%29
2021-bmw-m4-competition-coup,2021 BMW M4 Competition Coupé,2021,BMW,M4 Competition Coupé,ger,A,666,7.1,5.4,5.2,5.5,5.2,5.5,503,479,3803,I6,"Front-Engined, Rear-Wheel Drive",64000,mss,auto,images/2021-bmw-m4-competition-coup.png,https://forza.fandom.com/wiki/BMW_M4_Competition_Coup%C3%A9
2016-bentley-bentayga,2016 Bentley Bentayga,2016,Bentley,Bentayga,gbr,A,612,7.0,4.7,6.2,7.4,4.0,6.8,599,663,5340,W12,"Front-Engined, All-Wheel Drive",250000,suh,wheel,images/2016-bentley-bentayga.png,https://forza.fandom.com/wiki/Bentley_Bentayga
2016-cadillac-cts-v-sedan,2016 Cadillac CTS-V Sedan,2016,Cadillac,CTS-V Sedan,United States,A,648,7.2,4.8,4.9,5.2,4.4,5.0,640,630,4128,V8,"Front-Engined, Rear-Wheel Drive",60000,mm,auto,images/2016-cadillac-cts-v-sedan.png,https://forza.fandom.com/wiki/Cadillac_CTS-V_Sedan
2022-cadillac-ct4-v-blackwing,2022 Cadillac CT4-V Blackwing,2022,Cadillac,CT4-V Blackwing,United States,A,650,7.0,5.8,5.6,2.7,4.9,5.6,472,444,3860,V6,"Front-Engined, Rear-Wheel Drive",55000,mm,auto,images/2022-cadillac-ct4-v-blackwing.png,https://forza.fandom.com/wiki/Cadillac_CT4-V_Blackwing
2022-cadillac-ct5-v-blackwing,2022 Cadillac CT5-V Blackwing,2022,Cadillac,CT5-V Blackwing,United States,S1,701,7.4,5.6,5.6,5.4,6.7,5.3,668,658,4123,V8,"Front-Engined, Rear-Wheel Drive",90000,mm,auto,images/2022-cadillac-ct5-v-blackwing.png,https://forza.fandom.com/wiki/Cadillac_CT5-V_Blackwing
1955-chevrolet-150-utility-sedan,1955 Chevrolet 150 Utility Sedan,1955,Chevrolet,150 Utility Sedan,United States,,221,4.3,3.4,3.0,2.8,2.0,6.0,162,257,3309,V8,"Front-Engined, Rear-Wheel Drive",140000,rac,auto,images/1955-chevrolet-150-utility-sedan.png,https://forza.fandom.com/wiki/Chevrolet_150_Utility_Sedan
1957-chevrolet-bel-air,1957 Chevrolet Bel Air,1957,Chevrolet,Bel Air,United States,D,320,4.8,3.6,2.8,1.6,2.1,6.2,220,300,3337,V8,"Front-Engined, Rear-Wheel Drive",69000,rac,auto,images/1957-chevrolet-bel-air.png,https://forza.fandom.com/wiki/Chevrolet_Bel_Air
1960-chevrolet-corvette-1960,1960 Chevrolet Corvette,1960,Chevrolet,Corvette,United States,C,428,5.4,3.8,3.6,2.8,2.5,5.8,290,290,3080,V8,"Front-Engined, Rear-Wheel Drive",250000,csc,wheel,images/1960-chevrolet-corvette-1960.png,https://forza.fandom.com/wiki/Chevrolet_Corvette_%281960%29
1970-chevrolet-camaro-z28-1970,1970 Chevrolet Camaro Z28,1970,Chevrolet,Camaro Z28,United States,C,430,5.1,3.5,3.4,3.3,2.4,5.1,360,380,3550,V8,"Front-Engined, Rear-Wheel Drive",55000,Classic Muscle,auto,images/1970-chevrolet-camaro-z28-1970.png,https://forza.fandom.com/wiki/Chevrolet_Camaro_Z28_%281970%29
1970-chevrolet-chevelle-super-sport-454,1970 Chevrolet Chevelle Super Sport 454,1970,Chevrolet,Chevelle Super Sport 454,United States,C,424,4.7,3.4,3.3,3.2,2.4,5.5,450,500,3799,V8,"Front-Engined, Rear-Wheel Drive",90000,Classic Muscle,auto,images/1970-chevrolet-chevelle-super-sport-454.png,https://forza.fandom.com/wiki/Chevrolet_Chevelle_Super_Sport_454
2017-chevrolet-camaro-zl1-2017,2017 Chevrolet Camaro ZL1,2017,Chevrolet,Camaro ZL1,United States,S1,727,7.3,6.4,6.1,4.9,5.5,5.2,650,650,3883,V8,"Front-Engined, Rear-Wheel Drive",55000,mm,auto,images/2017-chevrolet-camaro-zl1-2017.png,https://forza.fandom.com/wiki/Chevrolet_Camaro_ZL1_%282017%29
2020-chevrolet-silverado-lt-trail-boss,2020 Chevrolet Silverado LT Trail Boss,2020,Chevrolet,Silverado LT Trail Boss,United States,C,449,5.4,2.8,4.9,4.2,3.1,8.6,420,460,5100,V8,"Front-Engined, All-Wheel Drive",43000,p4,auto,images/2020-chevrolet-silverado-lt-trail-boss.png,https://forza.fandom.com/wiki/Chevrolet_Silverado_LT_Trail_Boss
2023-chevrolet-corvette-z06-2023,2023 Chevrolet Corvette Z06,2023,Chevrolet,Corvette Z06,United States,S1,763,7.2,6.9,7.4,8.2,7.7,5.0,670,460,3557,V8,"Mid-Engined, Rear-Wheel Drive",155000,tt,auto,images/2023-chevrolet-corvette-z06-2023.png,https://forza.fandom.com/wiki/Chevrolet_Corvette_Z06_%282023%29
2024-chevrolet-corvette-e-ray,2024 Chevrolet Corvette E-Ray,2024,Chevrolet,Corvette E-Ray,United States,S1,737,7.2,6.9,9.5,9.6,7.3,5.4,645,591,3890,V8,"Mid-Engined, All-Wheel Drive",114000,msu,auto,images/2024-chevrolet-corvette-e-ray.png,https://forza.fandom.com/wiki/Chevrolet_Corvette_E-Ray
2016-dodge-viper-acr,2016 Dodge Viper ACR,2016,Dodge,Viper ACR,United States,S1,786,7.1,7.6,6.5,5.6,9.1,4.9,645,600,3368,V10,"Front-Engined, Rear-Wheel Drive",290000,tt,wheel,images/2016-dodge-viper-acr.png,https://forza.fandom.com/wiki/Dodge_Viper_ACR
1989-ferrari-f40-competizione,1989 Ferrari F40 Competizione,1989,Ferrari,F40 Competizione,ita,X,948,8.5,9.7,7.3,2.0,10.0,5.2,691,526,2315,V8,"Mid-Engined, Rear-Wheel Drive",3200000,rrc,auto,images/1989-ferrari-f40-competizione.png,https://forza.fandom.com/wiki/Ferrari_F40_Competizione
2005-ferrari-fxx,2005 Ferrari FXX,2005,Ferrari,FXX,ita,S2,900,8.7,9.4,8.1,8.9,10.0,4.9,789,506,2731,V12,"Mid-Engined, Rear-Wheel Drive",2500000,ett,auto,images/2005-ferrari-fxx.png,https://forza.fandom.com/wiki/Ferrari_FXX
2012-ferrari-599xx-evolution,2012 Ferrari 599XX Evolution,2012,Ferrari,599XX Evolution,Italy,S2,894,8.3,9.1,7.3,7.9,10.0,4.4,740,516,3010,V12,"Front-Engined, Rear-Wheel Drive",3200000,ett,auto,images/2012-ferrari-599xx-evolution.png,https://forza.fandom.com/wiki/Ferrari_599XX_Evolution
2015-ferrari-f12tdf,2015 Ferrari F12tdf,2015,Ferrari,F12tdf,Italy,S1,788,8.8,6.7,6.5,7.0,8.0,5.2,769,519,3351,V12,"Front-Engined, Rear-Wheel Drive",500000,sgt,auto,images/2015-ferrari-f12tdf.png,https://forza.fandom.com/wiki/Ferrari_F12tdf
2018-ferrari-fxx-k-evo,2018 Ferrari FXX-K Evo,2018,Ferrari,FXX-K Evo,ita,X,957,8.4,9.5,8.3,9.1,10.0,4.6,1036,663,2800,V12,"Mid-Engined, Rear-Wheel Drive",4500000,ett,auto,images/2018-ferrari-fxx-k-evo.png,https://forza.fandom.com/wiki/Ferrari_FXX-K_Evo
2019-ferrari-monza-sp2,2019 Ferrari Monza SP2,2019,Ferrari,Monza SP2,ita,S1,773,8.6,6.6,6.1,6.6,7.1,4.3,799,530,3503,V12,"Front-Engined, Rear-Wheel Drive",2500000,sgt,auto,images/2019-ferrari-monza-sp2.png,https://forza.fandom.com/wiki/Ferrari_Monza_SP2
1965-ford-mustang-gt-coupe,1965 Ford Mustang GT Coupe,1965,Ford,Mustang GT Coupe,us,D,388,5.3,3.5,3.3,3.2,2.3,5.6,271,312,2562,V8,"Front-Engined, Rear-Wheel Drive",52000,Classic Muscle,auto,images/1965-ford-mustang-gt-coupe.png,https://forza.fandom.com/wiki/Ford_Mustang_GT_Coupe
1968-ford-mustang-gt-2-2-fastback-forza-edition,1968 Ford Mustang GT 2+2 Fastback Forza Edition,1968,Ford,Mustang GT 2+2 Fastback Forza Edition,United States,A,700,7.3,5.2,5.2,3.4,4.3,5.2,,,,V8,"Front-Engined, Rear-Wheel Drive",500000,tt,,images/1968-ford-mustang-gt-2-2-fastback-forza-edition.png,https://forza.fandom.com/wiki/Ford_Mustang_GT_2%2B2_Fastback_Forza_Edition
1986-ford-f-150-xlt-lariat,1986 Ford F-150 XLT Lariat,1986,Ford,F-150 XLT Lariat,United States,,263,3.5,3.0,2.6,1.6,3.0,8.3,185,270,3805,V8,"Front-Engined, All-Wheel Drive",45000,p4,auto,images/1986-ford-f-150-xlt-lariat.png,https://forza.fandom.com/wiki/Ford_F-150_XLT_Lariat
1986-ford-f-150-xlt-lariat-forza-edition,1986 Ford F-150 XLT Lariat Forza Edition,1986,Ford,F-150 XLT Lariat Forza Edition,United States,S2,850,5.2,5.3,7.7,8.7,6.8,6.0,1085,1420,3086,,"Front-Engined, All-Wheel Drive",500000,dc,,images/1986-ford-f-150-xlt-lariat-forza-edition.png,https://forza.fandom.com/wiki/Ford_F-150_XLT_Lariat_Forza_Edition
2003-ford-focus-rs-2003,2003 Ford Focus RS,2003,Ford,Focus RS,United States,C,484,5.1,4.7,4.1,2.9,3.5,5.0,212,228,2822,I4,"Front-Engined, Front-Wheel Drive",35000,rhh,auto,images/2003-ford-focus-rs-2003.png,https://forza.fandom.com/wiki/Ford_Focus_RS_%282003%29
2017-ford-14-rahal-letterman-lanigan-racing-grc-fiesta,2017 Ford #14 Rahal Letterman Lanigan Racing GRC Fiesta,2017,Ford,#14 Rahal Letterman Lanigan Racing GRC Fiesta,us,S1,772,5.0,5.4,9.2,10.0,5.8,7.9,600,664,2746,I4,"Front-Engined, All-Wheel Drive",150000,ram,auto,images/2017-ford-14-rahal-letterman-lanigan-racing-grc-fiesta.png,https://forza.fandom.com/wiki/Ford_14_Rahal_Letterman_Lanigan_Racing_GRC_Fiesta
2017-ford-m-sport-fiesta-rs,2017 Ford M-Sport Fiesta RS,2017,Ford,M-Sport Fiesta RS,United States,S1,707,4.9,5.7,8.7,8.4,5.9,8.6,375,332,2800,I4,"Front-Engined, All-Wheel Drive",250000,ram,auto,images/2017-ford-m-sport-fiesta-rs.png,https://forza.fandom.com/wiki/Ford_M-Sport_Fiesta_RS
2020-ford-2069-ford-performance-bronco-r,2020 Ford #2069 Ford Performance Bronco R,2020,Ford,#2069 Ford Performance Bronco R,United States,C,441,4.2,4.0,3.2,5.2,4.8,10.0,325,400,6500,V6,"Front-Engined, All-Wheel Drive",450000,o,auto,images/2020-ford-2069-ford-performance-bronco-r.png,https://forza.fandom.com/wiki/Ford_2069_Ford_Performance_Bronco_R
2020-ford-super-duty-f-450-drw-platinum,2020 Ford Super Duty F-450 DRW PLATINUM,2020,Ford,Super Duty F-450 DRW PLATINUM,United States,D,379,4.6,2.8,4.3,7.3,2.7,8.4,475,1050,8587,V8,"Front-Engined, All-Wheel Drive",65000,p4,auto,images/2020-ford-super-duty-f-450-drw-platinum.png,https://forza.fandom.com/wiki/Ford_Super_Duty_F-450_DRW_PLATINUM
